# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.181399 eV
#    Energy (eV)      DOS 
        -13.89060106          0.01257976
        -13.88860106          0.01419783
        -13.88660106          0.01600304
        -13.88460106          0.01801420
        -13.88260106          0.02025165
        -13.88060106          0.02273734
        -13.87860106          0.02549492
        -13.87660106          0.02854982
        -13.87460106          0.03192932
        -13.87260106          0.03566261
        -13.87060106          0.03978090
        -13.86860106          0.04431746
        -13.86660106          0.04930767
        -13.86460106          0.05478909
        -13.86260106          0.06080151
        -13.86060106          0.06738693
        -13.85860106          0.07458966
        -13.85660106          0.08245626
        -13.85460106          0.09103557
        -13.85260106          0.10037867
        -13.85060106          0.11053884
        -13.84860106          0.12157152
        -13.84660106          0.13353419
        -13.84460106          0.14648632
        -13.84260106          0.16048920
        -13.84060106          0.17560579
        -13.83860106          0.19190058
        -13.83660106          0.20943935
        -13.83460106          0.22828894
        -13.83260106          0.24851703
        -13.83060106          0.27019179
        -13.82860106          0.29338159
        -13.82660106          0.31815467
        -13.82460106          0.34457873
        -13.82260106          0.37272054
        -13.82060106          0.40264549
        -13.81860106          0.43441717
        -13.81660106          0.46809684
        -13.81460106          0.50374294
        -13.81260106          0.54141057
        -13.81060106          0.58115094
        -13.80860106          0.62301081
        -13.80660106          0.66703194
        -13.80460106          0.71325047
        -13.80260106          0.76169640
        -13.80060106          0.81239297
        -13.79860106          0.86535611
        -13.79660106          0.92059391
        -13.79460106          0.97810602
        -13.79260106          1.03788321
        -13.79060106          1.09990683
        -13.78860106          1.16414839
        -13.78660106          1.23056914
        -13.78460106          1.29911971
        -13.78260106          1.36973979
        -13.78060106          1.44235790
        -13.77860106          1.51689117
        -13.77660106          1.59324520
        -13.77460106          1.67131407
        -13.77260106          1.75098027
        -13.77060106          1.83211486
        -13.76860106          1.91457761
        -13.76660106          1.99821727
        -13.76460106          2.08287190
        -13.76260106          2.16836930
        -13.76060106          2.25452750
        -13.75860106          2.34115534
        -13.75660106          2.42805316
        -13.75460106          2.51501350
        -13.75260106          2.60182194
        -13.75060106          2.68825797
        -13.74860106          2.77409592
        -13.74660106          2.85910597
        -13.74460106          2.94305520
        -13.74260106          3.02570865
        -13.74060106          3.10683049
        -13.73860106          3.18618514
        -13.73660106          3.26353844
        -13.73460106          3.33865885
        -13.73260106          3.41131860
        -13.73060106          3.48129490
        -13.72860106          3.54837107
        -13.72660106          3.61233766
        -13.72460106          3.67299357
        -13.72260106          3.73014709
        -13.72060106          3.78361689
        -13.71860106          3.83323299
        -13.71660106          3.87883762
        -13.71460106          3.92028602
        -13.71260106          3.95744720
        -13.71060106          3.99020458
        -13.70860106          4.01845653
        -13.70660106          4.04211691
        -13.70460106          4.06111539
        -13.70260106          4.07539781
        -13.70060106          4.08492635
        -13.69860106          4.08967965
        -13.69660106          4.08965286
        -13.69460106          4.08485753
        -13.69260106          4.07532151
        -13.69060106          4.06108868
        -13.68860106          4.04221865
        -13.68660106          4.01878636
        -13.68460106          3.99088163
        -13.68260106          3.95860862
        -13.68060106          3.92208526
        -13.67860106          3.88144259
        -13.67660106          3.83682406
        -13.67460106          3.78838482
        -13.67260106          3.73629091
        -13.67060106          3.68071849
        -13.66860106          3.62185300
        -13.66660106          3.55988827
        -13.66460106          3.49502574
        -13.66260106          3.42747350
        -13.66060106          3.35744547
        -13.65860106          3.28516052
        -13.65660106          3.21084160
        -13.65460106          3.13471491
        -13.65260106          3.05700905
        -13.65060106          2.97795421
        -13.64860106          2.89778141
        -13.64660106          2.81672170
        -13.64460106          2.73500548
        -13.64260106          2.65286180
